338,70
945,325
332,343
332,957
946,213
333,920
330,634
949,715
949,12
336,698
337,974
948,6
335,489
531,534
531,492
530,257
535,873
530,328
533,771
747,432
539,322
534,985
536,869
532,759
741,307
539,434
741,662
744,394
349,653
741,434
341,677
349,458
341,628
934,398
341,481
930,561
933,224
936,231
934,619
341,473
935,768
939,702
346,516
934,448
938,683
3,235
939,410
938,165
2,640
939,617
939,29
3,468
7,911
540,580
929,697
2,514
738,248
542,971
736,193
736,1000
5,457
7,800
7,411
7,72
340,509
5,328
5,303
731,395
546,571
4,555
4,148
340,549
545,315
548,999
547,445
928,305
733,302
732,181
920,235
4,279
317,780
318,79
923,448
317,963
928,152
314,663
319,155
928,374
925,604
928,865
725,47
925,594
922,588
312,140
315,471
311,870
512,968
323,819
728,707
922,613
728,861
511,528
919,273
728,306
722,954
322,975
720,985
918,286
914,301
519,92
324,223
328,886
711,113
324,69
916,158
325,200
325,256
917,293
910,112
913,772
980,562
719,155
719,94
907,210
520,590
520,639
714,556
529,125
527,256
711,129
989,896
525,284
987,247
989,762
707,195
988,74
986,402
982,118
983,220
980,906
574,69
986,298
526,145
700,390
575,308
575,499
701,275
573,583
573,877
578,90
578,495
308,757
579,827
708,179
708,439
576,452
705,275
577,561
706,383
703,95
582,772
976,27
302,454
302,881
967,556
580,241
301,463
304,207
973,962
303,209
581,42
971,683
580,376
970,964
970,755
307,777
309,51
585,612
974,483
309,78
585,627
560,62
585,643
584,364
969,413
963,46
966,116
587,656
964,256
974,870
963,254
966,20
554,120
559,263
564,38
557,183
553,698
555,137
556,238
553,145
560,632
553,265
553,829
958,384
955,812
560,17
959,462
560,291
951,563
950,776
952,388
991,664
569,194
567,665
568,203
957,429
562,150
563,869
563,272
569,862
799,780
799,509
798,13
568,123
771,138
797,396
796,885
795,590
793,152
793,96
793,491
792,142
792,239
996,846
996,479
790,824
791,462
994,93
992,12
990,447
781,457
597,477
783,159
998,250
785,170
782,779
789,877
784,168
505,99
789,455
773,194
505,189
503,277
505,290
771,696
506,204
760,134
777,80
771,92
778,20
769,886
766,22
502,90
762,800
756,53
769,417
768,901
753,413
158,880
759,202
758,654
594,590
594,353
394,76
391,243
391,880
597,267
383,51
395,97
599,467
398,91
379,363
593,833
591,83
381,620
508,841
373,877
380,53
360,655
376,437
350,610
364,190
359,279
357,290
358,47
358,65
804,476
806,56
805,145
805,226
801,886
800,422
826,20
801,54
801,109
155,882
156,53
152,249
152,217
151,85
600,108
605,268
608,198
602,404
604,818
205,207
202,464
200,46
200,186
379,435
407,499
169,886
201,145
167,463
207,216
408,54
409,838
164,160
223,142
405,851
164,295
405,246
405,276
407,439
405,269
401,133
211,841
418,225
823,133
823,831
215,142
210,111
826,445
826,434
213,117
163,184
219,878
214,132
176,853
179,69
821,655
821,846
418,260
418,72
624,856
417,181
623,66
174,499
418,837
620,496
819,446
410,610
131,499
819,646
411,439
414,875
620,232
411,124
411,270
221,119
811,884
228,643
222,37
815,180
223,195
628,631
224,269
818,261
818,274
416,260
227,120
189,143
188,487
225,426
427,474
847,666
613,843
614,882
619,839
870,287
847,126
117,458
435,62
440,630
434,295
433,193
439,148
421,237
129,493
123,47
864,877
861,42
443,477
132,899
432,851
133,104
132,649
866,478
147,40
459,678
458,657
850,149
134,230
147,899
850,270
148,59
149,874
855,483
855,678
463,234
462,249
465,655
464,40
99,233
466,662
685,16
140,260
881,56
884,905
671,197
678,269
856,642
879,269
679,46
874,481
878,85
871,272
871,287
469,658
871,233
690,235
690,246
196,34
644,38
641,478
645,658
671,199
636,260
630,653
660,93
630,247
662,244
662,289
656,257
652,282
39,106
34,87
25,238
38,98
27,490
25,251
19,239
32,1000
15,86
16,234
16,276
82,494
13,264
71,62
86,291
74,267
74,96
45,107
61,473
274,277
474,101
472,901
278,258
250,905
